"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2011年9月21日","18,824.17","18,891.50","19,023.57","18,698.90","1.87B","-1.00%"
"2011年9月20日","19,014.80","19,008.61","19,055.16","18,732.75","1.80B","0.51%"
"2011年9月19日","18,917.95","19,247.59","19,247.59","18,876.06","1.58B","-2.76%"
"2011年9月16日","19,455.31","19,545.50","19,652.53","19,454.74","2.49B","1.43%"
"2011年9月15日","19,181.50","19,186.76","19,269.41","18,935.08","1.92B","0.71%"
"2011年9月14日","19,045.44","19,216.29","19,248.64","18,627.65","2.45B","0.08%"
"2011年9月12日","19,030.54","19,264.68","19,303.74","18,989.44","1.90B","-4.21%"
"2011年9月9日","19,866.63","19,997.89","20,088.80","19,808.95","1.30B","-0.23%"
"2011年9月8日","19,912.82","20,159.29","20,159.29","19,799.49","1.89B","-0.67%"
"2011年9月7日","20,048.00","19,836.25","20,069.75","19,785.29","1.71B","1.71%"
"2011年9月6日","19,710.50","19,378.78","19,727.89","19,290.40","1.81B","0.48%"
"2011年9月5日","19,616.40","19,830.50","19,830.50","19,567.77","1.89B","-2.95%"
"2011年9月2日","20,212.91","20,557.92","20,580.81","20,178.67","1.75B","-1.81%"
"2011年9月1日","20,585.33","20,790.22","20,975.30","20,572.97","2.67B","0.25%"
"2011年8月31日","20,534.85","20,256.34","20,556.93","20,168.93","3.56B","1.64%"
"2011年8月30日","20,204.17","20,203.55","20,341.12","20,071.52","6.81B","1.71%"
"2011年8月29日","19,865.11","19,883.06","19,919.34","19,749.40","1.90B","1.44%"
"2011年8月26日","19,582.88","19,733.71","19,919.92","19,549.53","2.06B","-0.86%"
"2011年8月25日","19,752.48","19,744.52","19,803.28","19,638.87","1.82B","1.47%"
"2011年8月24日","19,466.79","19,863.11","19,876.67","19,452.65","1.68B","-2.06%"
"2011年8月23日","19,875.53","19,476.47","19,893.37","19,383.38","1.96B","1.99%"
"2011年8月22日","19,486.87","19,465.30","19,666.84","19,047.64","2.55B","0.45%"
"2011年8月19日","19,399.92","19,478.82","19,595.92","19,314.42","2.11B","-3.08%"
"2011年8月18日","20,016.27","20,261.21","20,342.24","19,969.21","1.57B","-1.34%"
"2011年8月17日","20,289.03","20,318.37","20,504.38","20,214.72","1.56B","0.38%"
"2011年8月16日","20,212.08","20,344.75","20,431.86","20,140.31","1.78B","-0.24%"
"2011年8月15日","20,260.10","20,056.78","20,264.33","19,924.56","1.83B","3.26%"
"2011年8月12日","19,620.01","19,955.82","19,955.82","19,575.00","2.16B","0.13%"
"2011年8月11日","19,595.14","19,314.00","19,746.00","19,278.00","-","-0.95%"
"2011年8月10日","19,783.67","19,982.00","20,080.00","19,554.00","-","2.34%"
"2011年8月9日","19,330.70","19,198.00","20,180.00","18,856.00","-","-5.66%"
"2011年8月8日","20,490.57","20,371.00","20,577.00","20,035.00","-","-2.17%"
"2011年8月5日","20,946.14","20,907.00","20,992.00","20,625.00","-","-4.29%"
"2011年8月4日","21,884.74","22,055.00","22,061.00","21,698.00","-","-0.49%"
"2011年8月3日","21,992.72","21,952.00","22,007.00","21,859.00","-","-1.91%"
"2011年8月2日","22,421.46","22,572.00","22,625.00","22,334.00","-","-1.07%"
"2011年8月1日","22,663.37","22,848.00","22,848.00","22,663.37","-","0.99%"
"2011年7月29日","22,440.25","22,554.00","22,634.00","22,303.00","-","-0.58%"
"2011年7月28日","22,570.74","22,268.00","22,583.00","22,218.00","-","0.13%"
"2011年7月27日","22,541.69","22,468.00","22,646.00","22,457.00","-","-0.13%"
"2011年7月26日","22,572.08","22,276.00","22,588.00","22,266.00","-","1.25%"
"2011年7月25日","22,293.29","22,329.00","22,344.00","22,222.00","-","-0.68%"
