"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年1月24日","9,314.91","9,446.20","9,451.43","9,273.23","629.46M","-0.93%"
"2020年1月23日","9,402.48","9,377.72","9,409.20","9,334.13","611.04M","0.20%"
"2020年1月22日","9,383.77","9,413.61","9,439.29","9,375.13","580.34M","0.14%"
"2020年1月21日","9,370.81","9,361.07","9,397.58","9,350.20","691.60M","-0.19%"
"2020年1月17日","9,388.94","9,392.37","9,393.48","9,346.81","659.47M","0.34%"
"2020年1月16日","9,357.13","9,313.44","9,357.92","9,301.32","567.15M","1.06%"
"2020年1月15日","9,258.69","9,253.76","9,298.82","9,231.14","584.77M","0.08%"
"2020年1月14日","9,251.33","9,270.61","9,298.33","9,226.49","624.22M","-0.24%"
"2020年1月13日","9,273.93","9,213.72","9,274.49","9,193.06","605.16M","1.04%"
"2020年1月10日","9,178.86","9,232.94","9,235.20","9,164.66","585.08M","-0.27%"
"2020年1月9日","9,203.43","9,202.27","9,215.95","9,158.50","601.33M","0.81%"
"2020年1月8日","9,129.24","9,068.03","9,168.89","9,059.38","595.81M","0.67%"
"2020年1月7日","9,068.58","9,076.65","9,091.93","9,042.55","552.23M","-0.03%"
"2020年1月6日","9,071.47","8,943.50","9,072.41","8,943.50","690.23M","0.56%"
"2020年1月3日","9,020.77","8,976.43","9,065.76","8,976.43","618.55M","-0.79%"
"2020年1月2日","9,092.19","9,039.46","9,093.43","9,010.89","654.95M","1.33%"
"2019年12月31日","8,972.60","8,918.74","8,975.35","8,912.77","554.99M","0.30%"
"2019年12月30日","8,945.99","9,004.45","9,006.36","8,909.19","483.98M","-0.67%"
"2019年12月27日","9,006.62","9,049.47","9,052.00","8,987.32","443.17M","-0.17%"
"2019年12月26日","9,022.39","8,970.21","9,022.46","8,968.45","394.33M","0.78%"
"2019年12月24日","8,952.88","8,955.01","8,957.12","8,934.36","248.97M","0.08%"
"2019年12月23日","8,945.65","8,950.20","8,956.64","8,934.55","510.23M","0.23%"
"2019年12月20日","8,924.95","8,911.84","8,931.91","8,901.87","1.60B","0.42%"
"2019年12月19日","8,887.22","8,838.97","8,888.13","8,838.97","629.57M","0.67%"
"2019年12月18日","8,827.74","8,834.65","8,848.76","8,820.42","680.42M","0.05%"
"2019年12月17日","8,823.36","8,829.47","8,831.99","8,804.60","594.89M","0.10%"
"2019年12月16日","8,814.23","8,791.31","8,833.45","8,789.77","632.71M","0.91%"
"2019年12月13日","8,734.88","8,713.91","8,768.87","8,697.58","543.98M","0.20%"
"2019年12月12日","8,717.32","8,645.36","8,745.82","8,633.60","588.22M","0.73%"
"2019年12月11日","8,654.05","8,631.12","8,658.48","8,622.35","486.22M","0.44%"
"2019年12月10日","8,616.18","8,623.56","8,650.76","8,600.82","515.36M","-0.07%"
"2019年12月9日","8,621.83","8,650.86","8,678.85","8,619.77","547.63M","-0.40%"
"2019年12月6日","8,656.53","8,634.25","8,665.44","8,630.58","527.65M","1.00%"
"2019年12月5日","8,570.70","8,587.93","8,588.89","8,541.92","536.69M","0.05%"
"2019年12月4日","8,566.67","8,557.44","8,584.88","8,552.38","571.97M","0.54%"
"2019年12月3日","8,520.64","8,460.72","8,523.98","8,435.40","599.92M","-0.55%"
